sample ID	forward sequence count	reverse sequence count
Besc148-corv-r4-Oct2019-ITS	1659583	1659583
Besc148-r1-Aug2018-ITS	1222611	1222611
GW9823-r48-Jun2017-ITS	710803	710803
D176-r17-Oct2019-ITS	362545	362545
GW9823-corv-r8-Aug2018-ITS	346784	346784
Besc103-corv-r3-Aug2018-ITS	335589	335589
D411-r22-Aug2018-ITS	333517	333517
Besc22-corv-r3-Oct2019-ITS	311186	311186
Besc22-corv-r16-Aug2018-ITS	294177	294177
Besc22-corv-r7-Oct2019-ITS	263380	263380
D411-r17-Aug2018-ITS	234914	234914
D176-r17-Aug2018-ITS	220938	220938
Besc148-r5-Oct2019-ITS	203466	203466
Besc148-r8-Aug2018-ITS	195036	195036
Besc835-r22-Oct2019-ITS	181907	181907
Besc835-corv-r16-Aug2018-ITS	180173	180173
Besc22-corv-r15-Oct2019-ITS	174338	174338
Besc103-corv-r14-Oct2019-ITS	170453	170453
Besc71-r9-Oct2019-ITS	169872	169872
Besc801-corv-r15-Jun2017-ITS	168604	168604
Besc71-corv-r17-Oct2019-ITS	162120	162120
Besc71-corv-r17-Aug2018-ITS	159691	159691
Besc22-corv-r11-Aug2018-ITS	143682	143682
Besc103-corv-r9-Aug2018-ITS	126369	126369
Besc801-corv-r7-Aug2018-ITS	125739	125739
D176-r11-Oct2019-ITS	119075	119075
Besc801-r3-Aug2018-ITS	117848	117848
Besc148-r22-Oct2019-ITS	103949	103949
Besc801-r8-Oct2019-ITS	93005	93005
GW9823-r32-Aug2018-ITS	92737	92737
Besc835-r41-Aug2018-ITS	91702	91702
Besc103-corv-r4-Jun2017-ITS	86747	86747
Besc261-corv-r6-Oct2019-ITS	80675	80675
Besc103-corv-r6-Oct2019-ITS	80593	80593
GW9823-r49-Oct2019-ITS	76853	76853
Besc103-r40-Aug2018-ITS	75822	75822
Besc103-r47-Jun2017-ITS	73939	73939
Besc801-r40-Jun2017-ITS	73841	73841
Besc801-corv-r17-Aug2018-ITS	72182	72182
Besc71-r42-Jun2017-ITS	68141	68141
Besc148-r17-Aug2018-ITS	67302	67302
D411-r15-Oct2019-ITS	67186	67186
Besc103-r7-Oct2019-ITS	66573	66573
Besc71-corv-r10-Oct2019-ITS	65224	65224
Besc71-r27-Oct2019-ITS	64126	64126
Besc71-corv-r5-Oct2019-ITS	62244	62244
GW9823-r43-Aug2018-ITS	61698	61698
Besc835-corv-r5-Oct2019-ITS	61365	61365
Besc71-corv-r2-Jun2017-ITS	57315	57315
D176-r5-Oct2019-ITS	54604	54604
Besc835-r10-Aug2018-ITS	50124	50124
Besc801-corv-r11-Oct2019-ITS	47833	47833
Besc103-r23-Aug2018-ITS	47482	47482
Besc801-r41-Aug2018-ITS	42785	42785
D411-r6-Jun2017-ITS	42169	42169
D176-r9-Aug2018-ITS	38359	38359
Besc103-corv-r12-Oct2019-ITS	35167	35167
D411-r4-Oct2019-ITS	33435	33435
Besc103-r9-Jun2017-ITS	31856	31856
DD176-r12-Jun2017-ITS	30984	30984
DD176-r7-Jun2017-ITS	29675	29675
Besc71-corv-r16-Jun2017-ITS	29631	29631
Besc148-corv-r1-Aug2018-ITS	28696	28696
Besc148-r11-Oct2019-ITS	26857	26857
GW9823-r12-Jun2017-ITS	26589	26589
Besc148-corv-r5-Oct2019-ITS	22341	22341
D411-r26-Oct2019-ITS	21352	21352
Besc835-corv-r12-Oct2019-ITS	20082	20082
Besc835-r41-Oct2019-ITS	17533	17533
Besc261-corv-r11-Oct2019-ITS	16485	16485
Besc801-r17-Jun2017-ITS	15053	15053
GW9823-r5-Oct2019-ITS	11560	11560
GW9823-corv-r3-Jun2017-ITS	10948	10948
Besc103-corv-r15-Jun2017-ITS	3965	3965
Besc148-corv-r3-Jun2017-ITS	2791	2791
Besc71-r48-Oct2019-ITS	1983	1983
D411-r7-Aug2018-ITS	811	811
Besc261-corv-r10-Aug2018-ITS	704	704
Besc835-r8-Oct2019-ITS	657	657
GW9823-corv-r5-Oct2019-ITS	386	386
Besc103-r41-Oct2019-ITS	339	339
Besc801-r16-Aug2018-ITS	238	238
GW9823-r35-Oct2019-ITS	231	231
Besc261-corv-r15-Oct2019-ITS	198	198
