sample ID	forward sequence count	reverse sequence count
D411-r7-Aug2018-16S	236669	236669
Besc801-r3-Aug2018-16S	233824	233824
Besc835-corv-r1-Oct2019-16S	211192	211192
DD176-r7-Jun2017-16S	206488	206488
D411-r22-Aug2018-16S	195373	195373
Besc801-r16-Aug2018-16S	192332	192332
D411-r6-Jun2017-16S	185486	185486
Besc835-r10-Aug2018-16S	179819	179819
Besc148-r11-Oct2019-16S	178514	178514
Besc103-r9-Jun2017-16S	175306	175306
Besc835-r22-Oct2019-16S	174240	174240
GW9823-r49-Oct2019-16S	164439	164439
Besc835-corv-r9-Jun2017-16S	163725	163725
GW9823-corv-r3-Jun2017-16S	162280	162280
Besc148-r8-Aug2018-16S	157614	157614
Besc148-corv-r3-Jun2017-16S	154654	154654
Besc801-corv-r15-Jun2017-16S	150979	150979
Besc801-r17-Jun2017-16S	150185	150185
Besc801-r44-Oct2019-16S	148344	148344
Besc71-corv-r2-Jun2017-16S	147301	147301
GW9823-r48-Jun2017-16S	144294	144294
Besc835-r41-Aug2018-16S	137593	137593
DD176-r12-Jun2017-16S	134018	134018
Besc103-corv-r16-Aug2018-16S	133696	133696
D176-r17-Aug2018-16S	133352	133352
Besc148-r1-Aug2018-16S	131010	131010
Besc71-r42-Jun2017-16S	129756	129756
D411-r17-Aug2018-16S	127148	127148
Besc22-corv-r16-Aug2018-16S	126297	126297
Besc148-corv-r1-Aug2018-16S	125768	125768
GW9823-r32-Aug2018-16S	120880	120880
Besc261-corv-r10-Aug2018-16S	116299	116299
Besc103-corv-r9-Aug2018-16S	114367	114367
Besc801-r40-Jun2017-16S	111385	111385
Besc148-r22-Oct2019-16S	110636	110636
Besc22-corv-r11-Aug2018-16S	110410	110410
GW9823-r43-Aug2018-16S	106604	106604
Besc71-r9-Oct2019-16S	106247	106247
Besc103-r40-Aug2018-16S	105340	105340
Besc71-corv-r17-Aug2018-16S	102916	102916
Besc22-corv-r7-Oct2019-16S	100403	100403
GW9823-corv-r8-Aug2018-16S	94280	94280
Besc103-r47-Jun2017-16S	88533	88533
Besc103-r24-Oct2019-16S	86589	86589
Besc71-corv-r16-Jun2017-16S	86462	86462
Besc148-corv-r4-Oct2019-16S	83489	83489
Besc835-corv-r5-Oct2019-16S	81899	81899
Besc22-corv-r6-Aug2018-16S	81443	81443
Besc103-corv-r3-Aug2018-16S	78789	78789
Besc22-corv-r15-Oct2019-16S	77106	77106
Besc835-corv-r16-Aug2018-16S	75594	75594
D176-r9-Aug2018-16S	75356	75356
Besc103-corv-r12-Oct2019-16S	72584	72584
Besc835-corv-r6-Aug2018-16S	71660	71660
Besc148-r17-Aug2018-16S	70566	70566
Besc71-r3-Aug2018-16S	67370	67370
Besc261-corv-r6-Oct2019-16S	60659	60659
Besc103-corv-r15-Jun2017-16S	55376	55376
Besc71-corv-r10-Oct2019-16S	54686	54686
Besc801-corv-r7-Aug2018-16S	52579	52579
D411-r26-Oct2019-16S	51727	51727
Besc103-r23-Aug2018-16S	49370	49370
GW9823-r5-Oct2019-16S	49126	49126
Besc71-r27-Oct2019-16S	49011	49011
Besc22-Corv-r6-Jun2017-16S	48697	48697
Besc261-corv-r11-Oct2019-16S	44632	44632
D411-r4-Oct2019-16S	43419	43419
GW9823-r12-Jun2017-16S	42843	42843
Besc801-corv-r2-Oct2019-16S	41716	41716
Besc103-corv-r4-Jun2017-16S	38964	38964
Besc801-corv-r11-Oct2019-16S	38938	38938
Besc835-r41-Oct2019-16S	38881	38881
Besc801-r8-Oct2019-16S	36946	36946
D176-r5-Oct2019-16S	36775	36775
Besc22-corv-r3-Oct2019-16S	35431	35431
D176-r17-Oct2019-16S	33168	33168
Besc261-corv-r12-Aug2018-16S	30639	30639
Besc801-r23-Oct2019-16S	29759	29759
Besc103-corv-r14-Oct2019-16S	29666	29666
Besc148-corv-r5-Oct2019-16S	24141	24141
Besc835-corv-r12-Oct2019-16S	22618	22618
Besc71-r48-Oct2019-16S	22076	22076
Besc148-r5-Oct2019-16S	21809	21809
D176-r11-Oct2019-16S	17743	17743
Besc103-corv-r6-Oct2019-16S	14513	14513
Besc103-r7-Oct2019-16S	14227	14227
Besc801-corv-r17-Aug2018-16S	13645	13645
Besc103-r41-Oct2019-16S	12761	12761
Besc801-r41-Aug2018-16S	11857	11857
Besc71-corv-r5-Oct2019-16S	10414	10414
D411-r15-Oct2019-16S	8093	8093
GW9823-r35-Oct2019-16S	1505	1505
Besc261-corv-r15-Oct2019-16S	1225	1225
GW9823-corv-r5-Oct2019-16S	426	426
Ext-Blank-16S	311	311
Besc835-r8-Oct2019-16S	300	300
Besc71-corv-r17-Oct2019-16S	212	212
NTC-Amp1-16S	11	11
NTC-Amp2-16S	1	1
