sample ID	forward sequence count	reverse sequence count
Besc103-R11-Oct2018-16S	156740	156740
Besc148-R1B-Oct2018-16S	150461	150461
Besc71-corv-R1-Oct2018-16S	137538	137538
Besc103-R23-Oct2018-16S	135424	135424
Besc103-R27-Aug2019-16S	130687	130687
GW9823corv-R1A-Oct2018-16S	128704	128704
GW9823corv-R1B-Oct2018-16S	126996	126996
Besc801-corv-R7-Oct2018-16S	126502	126502
Besc71-R3-Oct2018-16S	126275	126275
Besc148-corv-R7-Oct2018-16S	122612	122612
Besc22-corv-R11-Oct2018-16S	120061	120061
Besc835-R10-Oct2018-16S	119958	119958
Besc148-R11-Oct2018-16S	116921	116921
Besc71-corv-R7-Aug2019-16S	116419	116419
Besc801-R44-Jun2019-16S	111792	111792
Besc148-R5-Jun2019-16S	110325	110325
Besc261-corv-R10-Oct2018-16S	106093	106093
D411-R7-Oct2018-16S	105950	105950
Besc801-R3-Oct2018-16S	104554	104554
Besc103-R41-Jun2019-16S	104300	104300
Besc71-R9-Aug2019-16S	104185	104185
Besc835-R11-Aug2019-16S	103646	103646
B7-16S	99959	99959
Besc261-R2-Oct2018-16S	99848	99848
Besc261-corv-R4-Aug2019-16S	98913	98913
Besc835-corv-R14-Oct2018-16S	98245	98245
Besc71-corv-R5-Jun2019-16S	96107	96107
Besc148-corv-R4-Jun2019-16S	94990	94990
Besc835-R23-Oct2018-16S	93813	93813
D176-R5-Oct2018-16S	91973	91973
Besc71-corv-R17-Jun2019-16S	91941	91941
Besc103-corv-R12-Aug2019-16S	91777	91777
Besc103-corv-R6-Aug2019-16S	90389	90389
Besc801-corv-R14-Aug2019-16S	89872	89872
Besc148-R22-Jun2019-16S	87649	87649
Besc835-corv-R16-Oct2018-16S	85432	85432
Besc148-R11-Aug2019-16S	85137	85137
Besc801-R8-Aug2019-16S	84577	84577
Besc148-R1A-Oct2018-16S	84340	84340
Besc103-corv-R14-Jun2019-16S	83357	83357
Besc103-corv-R6-Jun2019-16S	80291	80291
D411-R17-Oct2018-16S	80272	80272
Besc835-R42-Jun2019-16S	80193	80193
Besc26-corv-R13-Aug2019-16S	79950	79950
besc835-R8-Aug2019-16S	78456	78456
Besc103-corv-R12-Jun2019-16S	77553	77553
Besc103-R5-Aug2019-16S	77532	77532
Besc71-R27-Aug2019-16S	75860	75860
D176-R9-Oct2018-16S	74528	74528
B5-16S	74207	74207
Besc22-corv-R3-Aug2019-16S	72640	72640
Besc835-R1-Jun2019-16S	72134	72134
Besc801-corv-R2-Jun2019-16S	71877	71877
Besc835-corv-R5-Jun2019-16S	71572	71572
Besc71-R9-Jun2019-16S	70782	70782
D411-R22-Oct2018-16S	70477	70477
Besc148-corv-R17-Oct2018-16S	69888	69888
GW9823-R49-Jun2019-16S	69700	69700
Besc835-corv-R12-Jun2019-16S	69403	69403
Besc148-R11-Jun2019-16S	69072	69072
Besc261-corv-R11-Jun2019-16S	68655	68655
Besc22-corv-R15-Jun2019-16S	67993	67993
GW9823-R28-Aug2019-16S	67453	67453
Besc261-corv-R6-Jun2019-16S	66770	66770
Besc71-corv-R10-Jun2019-16S	65368	65368
GW9823-R35-Jun2019-16S	65299	65299
GW9823-R43-Oct2018-16S	64798	64798
Besc148-corv-R5-Jun2019-16S	64378	64378
Besc103-R7-Jun2019-16S	63493	63493
Besc71-R48-Jun2019-16S	63165	63165
D411-R15-Jun2019-16S	59860	59860
Besc835-R22-Jun2019-16S	58635	58635
Besc261-corv-R11-Aug2019-16S	58152	58152
Besc261-corv-R15-Jun2019-16S	56590	56590
Besc22-corv-R16-Oct2018-16S	56487	56487
Besc103-R24-Jun2019-16S	56349	56349
Besc801-corv-R11-Jun2019-16S	56125	56125
besc835-R-Jun2019-16S	55505	55505
GW9823-R5-Jun2019-16S	54195	54195
D176-R5-Jun2019-16S	54166	54166
Besc801-R8-Jun2019-16S	53963	53963
Besc801-corv-R2-Aug2019-16S	52660	52660
Besc71-R27-Jun2019-16S	52042	52042
Besc22-corv-R7-Jun2019-16S	51808	51808
B3-16S	48870	48870
D411-R26-Jun2019-16S	48446	48446
Besc22-corv-R3-Jun2019-16S	48269	48269
D176-R17-Jun2019-16S	46925	46925
Besc801-R23-Jun2019-16S	45557	45557
D176-R11-Jun2019-16S	44052	44052
D411-R4-Jun2019-16S	42339	42339
B4-16S	41556	41556
Besc801-R19-Aug2019-16S	41547	41547
B6-16S	38250	38250
Besc835-corv-R5-Aug2019-16S	30829	30829
GW9823corv-R5-Jun2019-16S	13162	13162
NTC-Amp2-16S	7	7
NTC-Amp1-16S	6	6
